Timestamp,Provider,Counter Name,Counter Type,Mean/Increment
31.1.2025 11.30.23,System.Runtime,Gen 0 Size (B),Metric,24
31.1.2025 11.30.23,System.Runtime,Gen 1 Size (B),Metric,45112
31.1.2025 11.30.23,System.Runtime,Gen 2 Size (B),Metric,305904
31.1.2025 11.30.23,System.Runtime,LOH Size (B),Metric,24
31.1.2025 11.30.23,System.Runtime,POH (Pinned Object Heap) Size (B),Metric,56320
31.1.2025 11.30.23,System.Runtime,Number of Assemblies Loaded,Metric,181
31.1.2025 11.30.23,System.Runtime,IL Bytes Jitted (B),Metric,92499
31.1.2025 11.30.23,System.Runtime,Number of Methods Jitted,Metric,1251
31.1.2025 11.30.24,System.Runtime,CPU Usage (%),Metric,0
31.1.2025 11.30.24,System.Runtime,Working Set (MB),Metric,41
31.1.2025 11.30.24,System.Runtime,GC Heap Size (MB),Metric,2
31.1.2025 11.30.24,System.Runtime,Gen 0 GC Count (Count / 1 sec),Rate,0
31.1.2025 11.30.24,System.Runtime,Gen 1 GC Count (Count / 1 sec),Rate,0
31.1.2025 11.30.24,System.Runtime,Gen 2 GC Count (Count / 1 sec),Rate,0
31.1.2025 11.30.24,System.Runtime,ThreadPool Thread Count,Metric,2
31.1.2025 11.30.24,System.Runtime,Monitor Lock Contention Count (Count / 1 sec),Rate,0
31.1.2025 11.30.24,System.Runtime,ThreadPool Queue Length,Metric,0
31.1.2025 11.30.24,System.Runtime,ThreadPool Completed Work Item Count (Count / 1 sec),Rate,9
31.1.2025 11.30.24,System.Runtime,Allocation Rate (B / 1 sec),Rate,1347672
31.1.2025 11.30.24,System.Runtime,Number of Active Timers,Metric,0
31.1.2025 11.30.24,System.Runtime,GC Fragmentation (%),Metric,0
31.1.2025 11.30.24,System.Runtime,Exception Count (Count / 1 sec),Rate,0
31.1.2025 11.30.24,System.Runtime,% Time in GC since last GC (%),Metric,0
31.1.2025 11.30.24,System.Runtime,Gen 0 Size (B),Metric,24
31.1.2025 11.30.24,System.Runtime,Gen 1 Size (B),Metric,45112
31.1.2025 11.30.24,System.Runtime,Gen 2 Size (B),Metric,305904
31.1.2025 11.30.24,System.Runtime,LOH Size (B),Metric,24
31.1.2025 11.30.24,System.Runtime,POH (Pinned Object Heap) Size (B),Metric,56320
31.1.2025 11.30.24,System.Runtime,Number of Assemblies Loaded,Metric,190
31.1.2025 11.30.24,System.Runtime,IL Bytes Jitted (B),Metric,96945
31.1.2025 11.30.24,System.Runtime,Number of Methods Jitted,Metric,1314
31.1.2025 11.30.25,System.Runtime,CPU Usage (%),Metric,0
31.1.2025 11.30.25,System.Runtime,Working Set (MB),Metric,42
31.1.2025 11.30.25,System.Runtime,GC Heap Size (MB),Metric,3
31.1.2025 11.30.25,System.Runtime,Gen 0 GC Count (Count / 1 sec),Rate,0
31.1.2025 11.30.25,System.Runtime,Gen 1 GC Count (Count / 1 sec),Rate,0
31.1.2025 11.30.25,System.Runtime,Gen 2 GC Count (Count / 1 sec),Rate,0
31.1.2025 11.30.25,System.Runtime,ThreadPool Thread Count,Metric,2
31.1.2025 11.30.25,System.Runtime,Monitor Lock Contention Count (Count / 1 sec),Rate,0
31.1.2025 11.30.25,System.Runtime,ThreadPool Queue Length,Metric,0
31.1.2025 11.30.25,System.Runtime,ThreadPool Completed Work Item Count (Count / 1 sec),Rate,9
31.1.2025 11.30.25,System.Runtime,Allocation Rate (B / 1 sec),Rate,1355816
31.1.2025 11.30.25,System.Runtime,Number of Active Timers,Metric,0
31.1.2025 11.30.25,System.Runtime,GC Fragmentation (%),Metric,0
31.1.2025 11.30.25,System.Runtime,Exception Count (Count / 1 sec),Rate,0
31.1.2025 11.30.25,System.Runtime,% Time in GC since last GC (%),Metric,0
31.1.2025 11.30.25,System.Runtime,Gen 0 Size (B),Metric,24
31.1.2025 11.30.25,System.Runtime,Gen 1 Size (B),Metric,45112
31.1.2025 11.30.25,System.Runtime,Gen 2 Size (B),Metric,305904
31.1.2025 11.30.25,System.Runtime,LOH Size (B),Metric,24
31.1.2025 11.30.25,System.Runtime,POH (Pinned Object Heap) Size (B),Metric,56320
31.1.2025 11.30.25,System.Runtime,Number of Assemblies Loaded,Metric,199
31.1.2025 11.30.25,System.Runtime,IL Bytes Jitted (B),Metric,101391
31.1.2025 11.30.25,System.Runtime,Number of Methods Jitted,Metric,1377
31.1.2025 11.30.26,System.Runtime,CPU Usage (%),Metric,0
31.1.2025 11.30.26,System.Runtime,Working Set (MB),Metric,42
31.1.2025 11.30.26,System.Runtime,GC Heap Size (MB),Metric,0
31.1.2025 11.30.26,System.Runtime,Gen 0 GC Count (Count / 1 sec),Rate,1
31.1.2025 11.30.26,System.Runtime,Gen 1 GC Count (Count / 1 sec),Rate,0
31.1.2025 11.30.26,System.Runtime,Gen 2 GC Count (Count / 1 sec),Rate,0
31.1.2025 11.30.26,System.Runtime,ThreadPool Thread Count,Metric,2
31.1.2025 11.30.26,System.Runtime,Monitor Lock Contention Count (Count / 1 sec),Rate,0
31.1.2025 11.30.26,System.Runtime,ThreadPool Queue Length,Metric,0
31.1.2025 11.30.26,System.Runtime,ThreadPool Completed Work Item Count (Count / 1 sec),Rate,9
31.1.2025 11.30.26,System.Runtime,Allocation Rate (B / 1 sec),Rate,1453744
31.1.2025 11.30.26,System.Runtime,Number of Active Timers,Metric,0
31.1.2025 11.30.26,System.Runtime,GC Fragmentation (%),Metric,0
31.1.2025 11.30.26,System.Runtime,Exception Count (Count / 1 sec),Rate,0
31.1.2025 11.30.26,System.Runtime,% Time in GC since last GC (%),Metric,0
31.1.2025 11.30.26,System.Runtime,Gen 0 Size (B),Metric,24
31.1.2025 11.30.26,System.Runtime,Gen 1 Size (B),Metric,70824
31.1.2025 11.30.26,System.Runtime,Gen 2 Size (B),Metric,305904
31.1.2025 11.30.26,System.Runtime,LOH Size (B),Metric,24
31.1.2025 11.30.26,System.Runtime,POH (Pinned Object Heap) Size (B),Metric,56320
31.1.2025 11.30.26,System.Runtime,Number of Assemblies Loaded,Metric,208
31.1.2025 11.30.26,System.Runtime,IL Bytes Jitted (B),Metric,105837
31.1.2025 11.30.26,System.Runtime,Number of Methods Jitted,Metric,1440
31.1.2025 11.30.27,System.Runtime,CPU Usage (%),Metric,0
31.1.2025 11.30.27,System.Runtime,Working Set (MB),Metric,43
31.1.2025 11.30.27,System.Runtime,GC Heap Size (MB),Metric,2
31.1.2025 11.30.27,System.Runtime,Gen 0 GC Count (Count / 1 sec),Rate,0
31.1.2025 11.30.27,System.Runtime,Gen 1 GC Count (Count / 1 sec),Rate,0
31.1.2025 11.30.27,System.Runtime,Gen 2 GC Count (Count / 1 sec),Rate,0
31.1.2025 11.30.27,System.Runtime,ThreadPool Thread Count,Metric,2
31.1.2025 11.30.27,System.Runtime,Monitor Lock Contention Count (Count / 1 sec),Rate,0
31.1.2025 11.30.27,System.Runtime,ThreadPool Queue Length,Metric,0
31.1.2025 11.30.27,System.Runtime,ThreadPool Completed Work Item Count (Count / 1 sec),Rate,9
31.1.2025 11.30.27,System.Runtime,Allocation Rate (B / 1 sec),Rate,1347712
31.1.2025 11.30.27,System.Runtime,Number of Active Timers,Metric,0
31.1.2025 11.30.27,System.Runtime,GC Fragmentation (%),Metric,0
31.1.2025 11.30.27,System.Runtime,Exception Count (Count / 1 sec),Rate,0
31.1.2025 11.30.27,System.Runtime,% Time in GC since last GC (%),Metric,0
31.1.2025 11.30.27,System.Runtime,Gen 0 Size (B),Metric,24
31.1.2025 11.30.27,System.Runtime,Gen 1 Size (B),Metric,70824
31.1.2025 11.30.27,System.Runtime,Gen 2 Size (B),Metric,305904
31.1.2025 11.30.27,System.Runtime,LOH Size (B),Metric,24
31.1.2025 11.30.27,System.Runtime,POH (Pinned Object Heap) Size (B),Metric,56320
31.1.2025 11.30.27,System.Runtime,Number of Assemblies Loaded,Metric,217
31.1.2025 11.30.27,System.Runtime,IL Bytes Jitted (B),Metric,110283
31.1.2025 11.30.27,System.Runtime,Number of Methods Jitted,Metric,1503
31.1.2025 11.30.28,System.Runtime,CPU Usage (%),Metric,0
31.1.2025 11.30.28,System.Runtime,Working Set (MB),Metric,43
31.1.2025 11.30.28,System.Runtime,GC Heap Size (MB),Metric,3
31.1.2025 11.30.28,System.Runtime,Gen 0 GC Count (Count / 1 sec),Rate,0
31.1.2025 11.30.28,System.Runtime,Gen 1 GC Count (Count / 1 sec),Rate,0
31.1.2025 11.30.28,System.Runtime,Gen 2 GC Count (Count / 1 sec),Rate,0
31.1.2025 11.30.28,System.Runtime,ThreadPool Thread Count,Metric,2
31.1.2025 11.30.28,System.Runtime,Monitor Lock Contention Count (Count / 1 sec),Rate,0
31.1.2025 11.30.28,System.Runtime,ThreadPool Queue Length,Metric,0
31.1.2025 11.30.28,System.Runtime,ThreadPool Completed Work Item Count (Count / 1 sec),Rate,9
31.1.2025 11.30.28,System.Runtime,Allocation Rate (B / 1 sec),Rate,1355752
31.1.2025 11.30.28,System.Runtime,Number of Active Timers,Metric,0
31.1.2025 11.30.28,System.Runtime,GC Fragmentation (%),Metric,0
31.1.2025 11.30.28,System.Runtime,Exception Count (Count / 1 sec),Rate,0
31.1.2025 11.30.28,System.Runtime,% Time in GC since last GC (%),Metric,0
31.1.2025 11.30.28,System.Runtime,Gen 0 Size (B),Metric,24
31.1.2025 11.30.28,System.Runtime,Gen 1 Size (B),Metric,70824
31.1.2025 11.30.28,System.Runtime,Gen 2 Size (B),Metric,305904
31.1.2025 11.30.28,System.Runtime,LOH Size (B),Metric,24
31.1.2025 11.30.28,System.Runtime,POH (Pinned Object Heap) Size (B),Metric,56320
31.1.2025 11.30.28,System.Runtime,Number of Assemblies Loaded,Metric,226
31.1.2025 11.30.28,System.Runtime,IL Bytes Jitted (B),Metric,114729
31.1.2025 11.30.28,System.Runtime,Number of Methods Jitted,Metric,1566
31.1.2025 11.30.29,System.Runtime,CPU Usage (%),Metric,0
31.1.2025 11.30.29,System.Runtime,Working Set (MB),Metric,44
31.1.2025 11.30.29,System.Runtime,GC Heap Size (MB),Metric,0
31.1.2025 11.30.29,System.Runtime,Gen 0 GC Count (Count / 1 sec),Rate,1
31.1.2025 11.30.29,System.Runtime,Gen 1 GC Count (Count / 1 sec),Rate,0
